WorkItemType,StoryID,EpicID,Epic,NewOrExisting,Priority,Release,Phase,Title,AcceptanceOutcome,Dependencies,Risk,Traceability,Status
User Story,US-021,E03,"E03 - Resource, grouping and capacity configuration",Existing,P1,V1,Phase 1 — Grouping/capacity foundation,"As a board administrator, I want each resource to resolve to one stable group path so that events and capacity do not duplicate across branches.",Validation detects ambiguous/multiple paths; runtime shows a single path per board version.,US-020,Duplicate resource paths distort visibility/capacity,FR-GRP-001,Not Started
User Story,US-022,E03,"E03 - Resource, grouping and capacity configuration",Existing,P0,V1,Phase 1 — Grouping/capacity foundation,"As a board administrator, I want named resource roles and requirements so that group bookings can demand the right people, vehicles, rooms or equipment.",Roles can restrict type/capability; requirement stores quantity/capacity; validation supports partial fill.,"US-004, US-011",Incorrect role/capacity calculation compromises operations,FR-CFG-006; FR-GPH-004,Not Started
User Story,US-029,E04,E04 - Runtime workspace and read model,New — PCF controls backlog addendum,P0,V1,Phase 2 — Runtime PCF foundation,"As a scheduler, I want the Planora Schedule Board Runtime PCF and Projection Controller to resolve an active, validated board projection, compose the operational workspace and route all actions through governed APIs so that the board is fast, safe and consistent.","The Runtime PCF loads only active validated compatible projections, fails closed for missing/stale/incompatible projection, performs visible-slice reads, routes all mutations through Custom APIs, refreshes only affected scope and does not directly write schedule, configuration or control records.","US-001, US-003, US-013, US-070, US-071",Runtime PCF becomes an ungoverned second business-logic layer or presents stale data after a command,FR-ACC-001/003; FR-WSP-001..005; FR-OPS-002; NFR-PER-001/002/007; NFR-SEC-003; NFR-MNT-001,Not Started
User Story,US-030,E04,E04 - Runtime workspace and read model,Existing,P0,V1,Phase 2 — Read workspace,"As a scheduler, I want to select a permitted board and date range so that I can work in the correct operational context.",Only allowed boards show; active validated version loads; date navigation uses board timezone.,"US-003, US-013, US-029, US-070",Invalid board context or timezone misinterpretation,FR-ACC-002; FR-WSP-001,Not Started
User Story,US-031,E04,E04 - Runtime workspace and read model,Existing,P0,V1,Phase 2 — Read workspace,"As a scheduler, I want a virtualised group/resource timeline with server paging so that large schedules remain usable.",Only current page/viewport data loaded; request cancellation works; performance baseline met.,"US-029, US-030",Dense schedule performance and stale client data,FR-WSP-002; NFR-PER-001/002,Not Started
User Story,US-032,E04,E04 - Runtime workspace and read model,Existing,P1,V1,Phase 2 — Read workspace,"As a scheduler, I want search, filters and saved non-sensitive preferences so that I can repeatedly focus on my work.",Filter changes refresh correct slice; preference respects permissions/policy.,"US-030, US-031",Unsafe filters/preferences leak or corrupt user context,FR-WSP-001/003,Not Started
User Story,US-033,E04,E04 - Runtime workspace and read model,Existing,P1,V1,Phase 2 — Read workspace,"As a scheduler, I want overlays for availability, leave, work hours and holidays so that I can make safe scheduling choices.",Configured overlays appear; missing mappings degrade safely; non-colour cues provided.,"US-011, US-013, US-031",Incorrect overlay time interpretation creates unsafe choices,FR-CNF-001; NFR-UX-004,Not Started
User Story,US-040,E05,E05 - Schedule graph operations,Existing,P0,V1,Phase 3 — Core command runtime,"As a scheduler, I want to create or edit a booking/activity with its own time so that I can schedule the actual work rather than only a parent record.",Activity start/end independent; invalid interval rejected; parent context retained.,"US-011, US-012, US-071, US-070",Customer data mutation rules are incomplete,FR-GPH-002; FR-OPS-004,Not Started
User Story,US-041,E05,E05 - Schedule graph operations,Existing,P0,V1,Phase 3 — Core command runtime,"As a scheduler, I want to assign one or more resources to an activity with roles so that group work is represented accurately.",One activity supports multiple assignments; role compatibility validated; parent/sibling context visible.,"US-040, US-022, US-071",Invalid resource allocation or duplicate assignment,FR-GPH-003; FR-OPS-004,Not Started
User Story,US-042,E05,E05 - Schedule graph operations,Existing,P0,V1,Phase 3 — Core command runtime,"As a scheduler, I want to move, resize and reassign activities/assignments so that schedule changes are controlled and explained.",Validate first; warn/confirm; execute with row version; affected scope refreshes.,"US-040, US-041, US-051, US-071",Non-atomic move/resize/reassign or concurrency loss,FR-OPS-001/005/007,Not Started
User Story,US-043,E05,E05 - Schedule graph operations,Existing,P1,V1,Phase 3 — Core command runtime,"As a scheduler, I want an assignment time override when the board permits it so that a resource can be scheduled for a portion of the activity.",Override only appears when configured; rules enforce allowed boundary; inherited time remains default.,"US-041, US-042",Override semantics diverge from activity schedule,FR-GPH-006,Not Started
User Story,US-044,E05,E05 - Schedule graph operations,Existing,P1,V1,Phase 3 — Core command runtime,"As a scheduler, I want distinct booking, activity and assignment status transitions so that operational state is accurate at the right level.",Independent configured transitions; forbidden transitions rejected; history audited.,"US-010, US-011, US-071",Status transition bypass or incorrect side effect,FR-CFG-005; FR-OPS-007,Not Started
User Story,US-050,E06,"E06 - Requirements, conflicts and unscheduled work",Existing,P0,V1,Phase 3 — Core command runtime,"As a scheduler, I want required versus allocated quantity/capacity for an activity so that I can see whether group work is complete.",Eligible assignment statuses count correctly; shortfall/over-allocation displayed with text/icon.,"US-022, US-041",Incorrect capacity/quantity state,FR-GPH-007; FR-UNS-002,Not Started
User Story,US-051,E06,"E06 - Requirements, conflicts and unscheduled work",Existing,P0,V1,Phase 3 — Core command runtime,"As a scheduler, I want blocking and warning conflicts explained before commit so that I can decide safely.","Rule, severity, scope and message returned; warning needs confirmation when configured.","US-022, US-070, US-071",Rules are bypassed or not explainable,FR-CNF-002; FR-OPS-001,Not Started
User Story,US-052,E06,"E06 - Requirements, conflicts and unscheduled work",Existing,P1,V1,Phase 4 — Operational workbenches,"As a scheduler, I want a conflict workbench so that I can triage unresolved issues without losing timeline context.",Filter/sort/select; history retained; actions permission controlled.,"US-051, US-072",Conflict history/action permissions are incorrect,FR-CNF-003/004,Not Started
User Story,US-053,E06,"E06 - Requirements, conflicts and unscheduled work",Existing,P1,V1,Phase 4 — Operational workbenches,"As a scheduler, I want an unscheduled/partial workbench so that I can fill unassigned activities and incomplete requirements.",Shows configured unassigned/partial work; open/assign actions available.,"US-050, US-041, US-031",Unscheduled work becomes stale or unauthorised,FR-UNS-001,Not Started
User Story,US-060,E07,"E07 - Publish, locks and rollback",Existing,P0,V1,Phase 4 — Publish governance,"As a publish manager, I want to preview the resolved publish scope and blockers so that I do not publish an unsafe schedule.","Scope, counts, warning/block, pending changes and lock policy displayed; server revalidates.","US-012, US-051, US-070, US-071",Publish preview differs from actual scope,FR-PUB-001/002/003,Not Started
User Story,US-061,E07,"E07 - Publish, locks and rollback",Existing,P0,V1,Phase 4 — Publish governance,"As a publish manager, I want a successful publish to create immutable snapshots and locks so that official schedules are protected.",Header/items created; managed fields included; lock rules enforced; audit linked.,"US-060, US-072",Official schedule state is partially committed or mutable,FR-PUB-004/005,Not Started
User Story,US-062,E07,"E07 - Publish, locks and rollback",Existing,P0,V1,Phase 4 — Publish governance,"As a publish manager, I want governed rollback to a compatible prior snapshot so that I can recover the published schedule without overwriting unrelated data.",Reason/permission required; only rollback-managed fields restored; new audit/result snapshot created.,"US-061, US-012, US-072",Rollback restores wrong scope or fields,FR-RBK-001..004,Not Started
User Story,US-063,E07,"E07 - Publish, locks and rollback",Existing,P1,V1,Phase 4 — Publish governance,"As a scheduler, I want lock state and pending-change state visible so that I understand why a change is blocked or not yet official.",Timeline/details show lock/pending badges and text; policy displayed.,"US-060, US-061, US-031",Lock state is ambiguous or stale in UI,FR-PUB-005; FR-UX-003,Not Started
User Story,US-070,E08,"E08 - Security, APIs, audit and support",Existing,P0,V1,Phase 0 — Security foundation,"As a security administrator, I want CCSB action permissions layered below Dataverse access so that the product does not overgrant customer data.",Permission cannot bypass Dataverse security; negative role tests pass.,US-004,CCSB overgrants access beyond Dataverse,FR-SEC-001/002; NFR-SEC-002,Not Started
User Story,US-071,E08,"E08 - Security, APIs, audit and support",Existing,P0,V1,Phase 0 — Command/API contract,"As an engineer, I want versioned validation/execute/publish/rollback Custom APIs so that all schedule mutations use a stable server contract.",No direct client mutation; request/response/negative tests; contracts documented.,"US-004, US-070",API allows direct/unvalidated mutation,FR-API-001; NFR-SEC-003,Not Started
User Story,US-072,E08,"E08 - Security, APIs, audit and support",Existing,P1,V1,Phase 4 — Audit/supportability,"As a support analyst, I want correlation across UI, operation, audit, conflict and snapshot records so that I can diagnose an outcome end to end.",Correlation query returns linked evidence without raw sensitive telemetry.,US-071,Insufficient traceability or sensitive telemetry,FR-AUD-001; NFR-OBS-001,Not Started
User Story,US-080,E09,E09 - Quality and release gates,Existing,P0,V1,Phase 5 — Release evidence,"As a QA lead, I want performance tests at the reference profile so that the scheduler is released with measured scale evidence.","Initial load, slice refresh, validation and interaction targets measured at 20 concurrent users.","US-031, US-042, US-060, US-061, US-062, US-072",Unproven scale/performance threshold,NFR-PER-003..006,Not Started
User Story,US-081,E09,E09 - Quality and release gates,Existing,P0,V1,Phase 5 — Release evidence,"As an accessibility specialist, I want task-based keyboard and assistive-technology validation so that all core scheduling functions are usable without drag/drop.","Focused tests cover selection, forms, commands, errors, publish and rollback.","US-030, US-031, US-040, US-041, US-042, US-060, US-062",Pointer-only or inaccessible custom timeline controls,NFR-UX-001/002,Not Started
User Story,US-082,E09,E09 - Quality and release gates,Existing,P1,V1,Phase 5 — Release evidence,"As a release manager, I want an upgrade rehearsal and support runbook so that configuration and operational issues are recoverable.",Managed import/compatibility/rollback rehearsed; support workflows signed off.,"US-001, US-002, US-013, US-061, US-062, US-080, US-081",Upgrade/support recovery is untested,NFR-ALM-002/003; NFR-SUP-001,Not Started
User Story,US-090,E10,E10 - Deferred direction,Existing,Later,Later,Deferred — Design gate,"As a scheduler, I want split/merge operations so that work can be decomposed or combined with governed graph semantics.","Not V1. Requires design approval for event graph, audit, publish and rollback semantics.","US-062, US-082",Graph/publish semantics unsupported,FR-LTR-001,Not Started
User Story,US-091,E10,E10 - Deferred direction,Existing,Later,Later,Deferred — Design gate,"As a mobile user, I want offline scheduling so that I can work without connectivity.","Not V1. Requires mobile/offline profile, synchronization, conflict policy and dedicated NFR baseline.",US-082,Offline sync and conflict data loss,FR-LTR-001; NFR-UX-005,Not Started
User Story,US-092,E10,E10 - Deferred direction,Existing,Later,Later,Deferred — Design gate,"As an integration owner, I want outbound connectors so that schedule changes can inform other platforms.","Not V1. Requires outbox delivery, retries, idempotency, security and monitoring design.","US-071, US-072, US-082",Connector failures affect transaction integrity,FR-LTR-001,Not Started
User Story,US-093,E10,E10 - Deferred direction,Existing,Later,Later,Deferred — Design gate,"As an enterprise user, I want URS/Field Service/Project Operations adapters so that selected data can interoperate.","Not V1. Requires licensed contract, regression and support matrix.","US-011, US-071, US-082",Licensing/model drift makes adapter unmaintainable,Scope,Not Started
