TaskID,ParentStoryID,EpicID,Priority,Phase,TaskCategory,Title,CurrentStatus,RecommendedStatus,EvidenceLevel,Evidence,RemainingCondition
US-004-T10,US-004,E01,P0,Phase 0 — Data foundation,Deployment,Deliver schema migration and upgrade policy,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-002-T01,US-002,E01,P0,Phase 0 — Compatibility contract,Technical,Define product and schema compatibility contract,Not Started,In Progress,Partial dbmodel schema evidence,Versioning concepts are modeled on board version and runtime projection.,Still missing explicit semantic product/schema compatibility contract and supported upgrade-path policy.
US-002-T02,US-002,E01,P0,Phase 0 — Compatibility contract,Data,Add compatibility metadata,Not Started,In Progress,Partial dbmodel schema evidence,"Board version has version number/label/configuration hash; runtime projection has projection schema version, source change token and content hash.","Still missing explicit product version, schema version and migration-state fields or approved equivalents."
US-002-T03,US-002,E01,P0,Phase 0 — Compatibility contract,Validation,Implement pre-activation compatibility validation,Not Started,In Progress,Partial dbmodel schema evidence,Pre-activation validation has a persistence target via ccsb_configurationvalidationresult and board-version validation fields.,Still needs executable fail-closed validation logic and diagnostic code mapping.
US-002-T04,US-002,E01,P0,Phase 0 — Compatibility contract,UX,Design administrator diagnostics,Not Started,In Progress,Partial dbmodel schema evidence,Validation result and runtime projection status/error fields provide a data basis for diagnostics.,Still needs administrator-facing diagnostics UX and safe re-validation commands.
US-002-T05,US-002,E01,P0,Phase 0 — Compatibility contract,Testing,Test upgrade and downgrade boundaries,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-002-T06,US-002,E01,P0,Phase 0 — Compatibility contract,Deployment,Package migration scripts and release notes,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-003-T01,US-003,E01,P1,Phase 0 — Tenant/board boundary,Data,Model board registry and tenant isolation,Not Started,In Progress,Partial dbmodel schema evidence,"Board registry fields exist: board code, active board version, lifecycle/status, time zone, runtime enablement and effective dates.",Still missing explicit environment-boundary fields/keys and proof of uniqueness per Dataverse environment.
US-003-T02,US-003,E01,P1,Phase 0 — Tenant/board boundary,Technical,Implement board resolution service,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-003-T03,US-003,E01,P1,Phase 0 — Tenant/board boundary,UX,Build board selection and empty-state flow,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-003-T04,US-003,E01,P1,Phase 0 — Tenant/board boundary,Validation,Enforce single active board version,Not Started,In Progress,Partial dbmodel schema evidence,Board active version and board-version lifecycle fields are present.,Still needs activation/retirement validation that prevents zero/multiple active versions.
US-003-T05,US-003,E01,P1,Phase 0 — Tenant/board boundary,Testing,Run isolation and authorisation tests,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-003-T06,US-003,E01,P1,Phase 0 — Tenant/board boundary,Deployment,Seed sample registry records,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-010-T01,US-010,E02,P0,Phase 1 — Configuration foundation,Data,Implement board-version aggregate,Not Started,In Progress,Partial dbmodel schema evidence,"Board-version aggregate fields exist: lifecycle, validation status, immutable flag, clone-from/supersedes, activation, effective dates and configuration hash.",Still needs enforcement of single active version and immutability beyond modeled fields.
US-010-T02,US-010,E02,P0,Phase 1 — Configuration foundation,Functional,"Implement create, clone, edit and compare flows",Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-010-T03,US-010,E02,P0,Phase 1 — Configuration foundation,UX,Design version-management administration,Not Started,In Progress,Partial dbmodel schema evidence,Board-version fields needed by administration forms/views exist.,Still depends on the Model-Driven UX pilot because current bulk UX generation is not release-ready.
US-010-T04,US-010,E02,P0,Phase 1 — Configuration foundation,Validation,Protect immutability and lifecycle transitions,Not Started,In Progress,Partial dbmodel schema evidence,Immutability and lifecycle fields exist on board version.,Still needs server-side transition enforcement and audit evidence.
US-010-T05,US-010,E02,P0,Phase 1 — Configuration foundation,Testing,"Test clone, compare and concurrent-edit cases",Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-010-T06,US-010,E02,P0,Phase 1 — Configuration foundation,Deployment,Add version lifecycle migration and documentation,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-011-T01,US-011,E02,P0,Phase 1 — Configuration foundation,Data,Define mapping semantic catalogue,Not Started,In Progress,Partial dbmodel schema evidence,"Entity, field and relationship mapping tables exist with semantic role/name, source field/type, transformation, lookup target and validation metadata.","Still needs approved semantic catalogue records for Booking, Activity, Assignment and Resource."
US-011-T02,US-011,E02,P0,Phase 1 — Configuration foundation,Technical,Build Dataverse metadata discovery service,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-011-T03,US-011,E02,P0,Phase 1 — Configuration foundation,UX,Build mapping administration wizard,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-011-T04,US-011,E02,P0,Phase 1 — Configuration foundation,Validation,Validate graph cardinality and field types,Not Started,In Progress,Partial dbmodel schema evidence,"Mapping tables include metadata ETag, validation status, required/read/write fields and lookup target metadata.",Still needs executable graph cardinality/type validation.
US-011-T05,US-011,E02,P0,Phase 1 — Configuration foundation,Technical,Create typed runtime mapping resolver,Not Started,In Progress,Partial dbmodel schema evidence,Runtime projection and normalized mapping tables provide the persistence shape for a typed resolver.,Still needs resolver implementation and typed contracts.
US-011-T06,US-011,E02,P0,Phase 1 — Configuration foundation,Testing,Test mapped and native graph modes,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-011-T07,US-011,E02,P0,Phase 1 — Configuration foundation,Documentation,Publish supported mapping patterns,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-012-T01,US-012,E02,P0,Phase 1 — Configuration foundation,Data,Add write and rollback flags to field mappings,Not Started,In Progress,Partial dbmodel schema evidence,Field mappings include read-enabled and write-behavior controls.,Not complete: independent rollback-managed and sensitive/display-only flags are not present.
US-012-T02,US-012,E02,P0,Phase 1 — Configuration foundation,Functional,Create managed-field policy editor,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-012-T03,US-012,E02,P0,Phase 1 — Configuration foundation,Validation,Validate field policy safety,Not Started,In Progress,Partial dbmodel schema evidence,"Field mappings include write behavior, validation expression, target data type and transformation metadata.",Still needs rollback-safety rules and explicit blocked field classes.
US-012-T04,US-012,E02,P0,Phase 1 — Configuration foundation,Technical,Enforce policy in command and rollback services,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-012-T05,US-012,E02,P0,Phase 1 — Configuration foundation,Testing,Test write/rollback boundary,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-012-T06,US-012,E02,P0,Phase 1 — Configuration foundation,Documentation,Document field-governance and change procedure,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-013-T01,US-013,E02,P1,Phase 1 — Configuration foundation,Technical,Define runtime projection schema,Not Started,Completed,Direct dbmodel schema evidence,"Runtime projection schema is present: ccsb_runtimeprojection has payload JSON, projection schema version, source change token, content hash, generated timestamp, status, scope and sizing fields.","Database model evidence satisfies the schema-definition part of this task. Generator, validation and import hooks remain separate tasks."
US-013-T02,US-013,E02,P1,Phase 1 — Configuration foundation,Technical,Implement projection generator,Not Started,In Progress,Partial dbmodel schema evidence,Runtime projection table includes generated/status/hash/source-token fields needed by a generator.,Still needs the generator implementation and idempotency behavior.
US-013-T03,US-013,E02,P1,Phase 1 — Configuration foundation,Validation,Detect stale or incompatible projections,Not Started,In Progress,Partial dbmodel schema evidence,"Projection hash, schema version, current flag, source change token and status fields support stale/incompatible detection.",Still needs fail-closed runtime load checks.
US-013-T04,US-013,E02,P1,Phase 1 — Configuration foundation,UX,Expose projection health,Not Started,In Progress,Partial dbmodel schema evidence,"Projection health fields exist: generated date, source token/hash, status and error detail.",Still needs administration UX.
US-013-T05,US-013,E02,P1,Phase 1 — Configuration foundation,Testing,Test projection integrity and cache keys,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-013-T06,US-013,E02,P1,Phase 1 — Configuration foundation,Deployment,Package projection regeneration on import/upgrade,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-020-T01,US-020,E03,P0,Phase 1 — Grouping/capacity foundation,Data,Implement group-definition schema,Not Started,Completed,Direct dbmodel schema evidence,"Group schema is present: ccsb_groupdefinition, ccsb_groupnode and ccsb_groupmembership model ordered levels, materialized nodes, resolved paths, resource membership and active/effective state.",Database model evidence satisfies the group-definition schema task.
US-020-T02,US-020,E03,P0,Phase 1 — Grouping/capacity foundation,Functional,Implement grouping configuration behavior,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-020-T03,US-020,E03,P0,Phase 1 — Grouping/capacity foundation,UX,Build grouping editor and preview,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-020-T04,US-020,E03,P0,Phase 1 — Grouping/capacity foundation,Validation,Validate resolver safety and hierarchy limits,Not Started,In Progress,Partial dbmodel schema evidence,"Group definition includes source type, ordered level number, parent definition, path separator and active state.",Still needs resolver safety validation and hierarchy-limit enforcement.
US-020-T05,US-020,E03,P0,Phase 1 — Grouping/capacity foundation,Technical,Create group-path query/resolver contract,Not Started,In Progress,Partial dbmodel schema evidence,Group node and membership tables model resolved paths and materialized hierarchy nodes.,Still needs query/resolver contracts.
US-020-T06,US-020,E03,P0,Phase 1 — Grouping/capacity foundation,Testing,Test grouping variants and null/fallback cases,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-020-T07,US-020,E03,P0,Phase 1 — Grouping/capacity foundation,Deployment,Register solution component and release evidence,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-021-T01,US-021,E03,P1,Phase 1 — Grouping/capacity foundation,Technical,Define stable group-path resolution algorithm,Not Started,In Progress,Partial dbmodel schema evidence,Materialized group node and membership structures provide the data basis for stable path resolution.,Still needs the deterministic resolution algorithm.
US-021-T02,US-021,E03,P1,Phase 1 — Grouping/capacity foundation,Validation,Detect ambiguity and multi-path output,Not Started,In Progress,Partial dbmodel schema evidence,Group membership/resource/path structure supports ambiguity detection.,Still needs validation rules and diagnostics.
US-021-T03,US-021,E03,P1,Phase 1 — Grouping/capacity foundation,Data,Persist/cache path identity safely,Not Started,Completed,Direct dbmodel schema evidence,Path identity is represented by group node/member keys plus ccsb_resolvedpath and resource membership links.,Database model evidence satisfies the persistence/cache-shape portion; resolver determinism tests remain open.
US-021-T04,US-021,E03,P1,Phase 1 — Grouping/capacity foundation,UX,Surface path diagnostics,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-021-T05,US-021,E03,P1,Phase 1 — Grouping/capacity foundation,Testing,Test determinism and non-duplication,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-021-T06,US-021,E03,P1,Phase 1 — Grouping/capacity foundation,Deployment,Register solution component and release evidence,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-022-T01,US-022,E03,P0,Phase 1 — Grouping/capacity foundation,Data,Implement roles and requirements model,Not Started,In Progress,Partial dbmodel schema evidence,"Resource role, schedule requirement, schedule assignment and resource tables model role keys, quantities, capacity and eligibility criteria.",Still needs explicit approval of capability strategy because no ccsb_resourcecapability table exists.
US-022-T02,US-022,E03,P0,Phase 1 — Grouping/capacity foundation,Functional,Build role and requirement configuration,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-022-T03,US-022,E03,P0,Phase 1 — Grouping/capacity foundation,UX,Design requirement editing and summary,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-022-T04,US-022,E03,P0,Phase 1 — Grouping/capacity foundation,Technical,Create eligibility and allocation calculator,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-022-T05,US-022,E03,P0,Phase 1 — Grouping/capacity foundation,Validation,Enforce role and capacity policy,Not Started,In Progress,Partial dbmodel schema evidence,Role and requirement fields support capacity/eligibility policy inputs.,Still needs enforcement logic.
US-022-T06,US-022,E03,P0,Phase 1 — Grouping/capacity foundation,Testing,Test multi-resource and capacity scenarios,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-022-T07,US-022,E03,P0,Phase 1 — Grouping/capacity foundation,Deployment,Register solution component and release evidence,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-030-T01,US-030,E04,P0,Phase 2 — Read workspace,Technical,Implement board-context bootstrap,Not Started,In Progress,Partial dbmodel schema evidence,"Board, active board version, runtime enabled, timezone and permission-scope fields exist.",Still needs runtime bootstrap service and permission filtering.
US-030-T02,US-030,E04,P0,Phase 2 — Read workspace,UX,Build workspace command bar,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-030-T03,US-030,E04,P0,Phase 2 — Read workspace,Functional,Implement timezone-safe navigation,Not Started,In Progress,Partial dbmodel schema evidence,Board/resource/location/calendar timezone fields exist.,Still needs timezone-safe navigation implementation and DST tests.
US-030-T04,US-030,E04,P0,Phase 2 — Read workspace,Security,Apply permitted-board filtering,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-030-T05,US-030,E04,P0,Phase 2 — Read workspace,Validation,Fail closed on invalid board/version,Not Started,In Progress,Partial dbmodel schema evidence,Board version validation status and runtime projection status fields provide fail-closed inputs.,Still needs runtime load blocker implementation.
US-030-T06,US-030,E04,P0,Phase 2 — Read workspace,Testing,Test context and timezone matrix,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-030-T07,US-030,E04,P0,Phase 2 — Read workspace,Deployment,Register solution component and release evidence,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-031-T01,US-031,E04,P0,Phase 2 — Read workspace,Technical,Implement read-model query contracts,Not Started,In Progress,Partial dbmodel schema evidence,Runtime projection plus schedule item/assignment/resource/date/status fields provide read-model query shape.,Still needs typed query contracts and server paging.
US-031-T02,US-031,E04,P0,Phase 2 — Read workspace,Technical,Build virtualised scheduler engine shell,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-031-T03,US-031,E04,P0,Phase 2 — Read workspace,Technical,Implement visible-slice cache and cancellation,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-031-T04,US-031,E04,P0,Phase 2 — Read workspace,UX,Design progressive load and empty/error states,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-031-T05,US-031,E04,P0,Phase 2 — Read workspace,Performance,Set performance budgets and instrumentation,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-031-T06,US-031,E04,P0,Phase 2 — Read workspace,Testing,Run viewport/paging/performance tests,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-031-T07,US-031,E04,P0,Phase 2 — Read workspace,Deployment,Register solution component and release evidence,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-032-T01,US-032,E04,P1,Phase 2 — Read workspace,Data,Define filter and preference model,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-032-T02,US-032,E04,P1,Phase 2 — Read workspace,Functional,Implement filter/search query composition,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-032-T03,US-032,E04,P1,Phase 2 — Read workspace,UX,Build accessible search/filter experience,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-032-T04,US-032,E04,P1,Phase 2 — Read workspace,Technical,Persist safe user preferences,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-032-T05,US-032,E04,P1,Phase 2 — Read workspace,Validation,Validate configured filters,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-032-T06,US-032,E04,P1,Phase 2 — Read workspace,Testing,"Test search, persistence and permission cases",Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-032-T07,US-032,E04,P1,Phase 2 — Read workspace,Deployment,Register solution component and release evidence,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-033-T01,US-033,E04,P1,Phase 2 — Read workspace,Data,Define overlay mapping semantics,Not Started,In Progress,Partial dbmodel schema evidence,"Overlay source tables exist for availability windows, leave, shifts, calendars, calendar exceptions/rules and public holidays.",Still needs approved overlay mapping semantics and precedence.
US-033-T02,US-033,E04,P1,Phase 2 — Read workspace,Technical,Implement overlay read and layout engine,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-033-T03,US-033,E04,P1,Phase 2 — Read workspace,UX,Design overlay legend and non-colour cues,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-033-T04,US-033,E04,P1,Phase 2 — Read workspace,Validation,Validate optional mapping and precedence,Not Started,In Progress,Partial dbmodel schema evidence,Overlay tables have active/effective/time fields for validation.,Still needs optional mapping/precedence validation logic.
